id,phone_name,phone_brand,category,release_date,processor_name,processor_brand,processor_series,processor_generation,x_metric_antutu_score,x_metric_antutu_rank,y_price_amount,y_price_currency,y_price_inr,y_price_usd,y_price_type,price_source,price_raw_value,price_confidence,launch_price_candidates,current_price_candidates,source_urls,source_matches,missing_fields,is_v1_flagship,device_family,release_year,device_variant,canonical_model,cpu_geekbench6_single_core,cpu_geekbench6_multi_core,cpu_source_url,cpu_observed_at,cpu_match_confidence,gpu_3dmark_wild_life_extreme_score,gpu_3dmark_wild_life_extreme_fps,gpu_source_url,gpu_observed_at,gpu_match_confidence,ai_geekbench_quantized_score,ai_backend,ai_accelerator,ai_precision,ai_source_url,ai_observed_at,ai_match_confidence,benchmark_status,benchmark_review_reason,benchmark_last_checked_at,benchmark_source_hash
red-magic-11-pro-red-magic-snapdragon-8-elite-gen-5-android,Red Magic 11 Pro,Red Magic,android,2025-11-19,Snapdragon 8 Elite Gen 5,Snapdragon,flagship,8 Elite Gen 5,3963575,1,749,USD,65163,749,current,the-verge,USD 749,0.88,,749|USD|65163|749|the-verge|0.88,https://www.theverge.com/news/812391/redmagics-liquid-cooled-gaming-phone-starts-at-749,the-verge|Red Magic 11 Pro|1,,false,,2025,,,,,,,,,,,,,,,,,,,,not_eligible,,,
poco-f8-ultra-poco-snapdragon-8-elite-gen-5-android,Poco F8 Ultra,POCO,android,2025-11-26,Snapdragon 8 Elite Gen 5,Snapdragon,flagship,8 Elite Gen 5,3661170,3,70979,INR,70979,815.85,current,existing-data,INR 70979,0.65,840|USD|73080|840|manual-seed|0.85,70979|INR|70979|815.85|existing-data|0.65; 840|USD|73080|840|existing-data|0.62,,manual-seed|Poco F8 Ultra|1,,false,,2025,,,,,,,,,,,,,,,,,,,,not_eligible,,,
oneplus-15-oneplus-snapdragon-8-elite-gen-5-android,OnePlus 15,OnePlus,android,2025-10-27,Snapdragon 8 Elite Gen 5,Snapdragon,flagship,8 Elite Gen 5,3606895,4,54999,INR,54999,632.17,current,existing-data,INR 54999,0.65,54999|INR|54999|632.17|manual-seed|0.95; 649|USD|56463|649|manual-seed|0.85,54999|INR|54999|632.17|existing-data|0.65; 649|USD|56463|649|existing-data|0.62,,manual-seed|OnePlus 15|1,,false,,2025,,,,,,,,,,,,,,,,,,,,not_eligible,,,
xiaomi-17-ultra-xiaomi-snapdragon-8-elite-gen-5-android,Xiaomi 17 Ultra,Xiaomi,android,,Snapdragon 8 Elite Gen 5,Snapdragon,flagship,8 Elite Gen 5,3562525,5,79999,INR,79999,919.53,current,existing-data,INR 79999,0.65,,79999|INR|79999|919.53|existing-data|0.65; 949|USD|82563|949|existing-data|0.62,,,,false,,,,,,,,,,,,,,,,,,,,,,not_eligible,,,
galaxy-s26-ultra-samsung-snapdragon-8-elite-gen-5-android,Galaxy S26 Ultra,Samsung,android,2026-03-06,Snapdragon 8 Elite Gen 5,Snapdragon,flagship,8 Elite Gen 5,3484761,6,116990,INR,116990,1344.71,current,existing-data,INR 116990,0.65,116990|INR|116990|1344.71|manual-seed|0.9,116990|INR|116990|1344.71|existing-data|0.65; 1384|USD|120408|1384|existing-data|0.62,,manual-seed|Samsung Galaxy S26 Ultra|1,,true,Galaxy S,2026,Ultra,Galaxy S26 Ultra,,,,,,,,,,,,,,,,,,"missing_cpu,missing_gpu,missing_ai","cpu:needs_model_review:samsung galaxy s26 ultra,Samsung Electronics Galaxy S26 Ultra; ai:needs_model_review; gpu:source_unavailable",2026-08-07T21:34:14+00:00,
samsung-galaxy-s26-ultra-samsung-snapdragon-8-elite-gen-5-android-ai-phone,Samsung Galaxy S26 Ultra,Samsung,android_ai_phone,2026-03-06,Snapdragon 8 Elite Gen 5,Snapdragon,flagship,8 Elite Gen 5,2542999,5,116990,INR,116990,1344.71,current,existing-data,INR 116990,0.65,116990|INR|116990|1344.71|manual-seed|0.9,116990|INR|116990|1344.71|existing-data|0.65; 1384|USD|120408|1384|existing-data|0.62,,manual-seed|Samsung Galaxy S26 Ultra|1,,true,Galaxy S,2026,Ultra,Galaxy S26 Ultra,,,,,,,,,,,,,,,,,,"missing_cpu,missing_gpu,missing_ai","cpu:needs_model_review:samsung galaxy s26 ultra,Samsung Electronics Galaxy S26 Ultra; ai:needs_model_review; gpu:source_unavailable",2026-08-07T21:34:14+00:00,
nubia-z80-ultra-nubia-snapdragon-8-elite-gen-5-android-ai-llm,nubia Z80 Ultra,Nubia,android_ai_llm,,Snapdragon 8 Elite Gen 5,Snapdragon,flagship,8 Elite Gen 5,913612,3,62999,INR,62999,724.13,current,existing-data,INR 62999,0.65,,62999|INR|62999|724.13|existing-data|0.65; 749|USD|65163|749|existing-data|0.62,,,,false,,,,,,,,,,,,,,,,,,,,,,not_eligible,,,
oneplus-15t-oneplus-snapdragon-8-elite-gen-5-android-ai-llm,OnePlus 15T,OnePlus,android_ai_llm,,Snapdragon 8 Elite Gen 5,Snapdragon,flagship,8 Elite Gen 5,895234,6,49999,INR,49999,574.7,current,existing-data,INR 49999,0.65,,49999|INR|49999|574.7|existing-data|0.65; 599|USD|52113|599|existing-data|0.62,,,,false,,,,,,,,,,,,,,,,,,,,,,not_eligible,,,
oneplus-pad-3-oneplus-snapdragon-8-elite-android-lite,OnePlus Pad 3,OnePlus,android_lite,2025-06-05,Snapdragon 8 Elite,Snapdragon,flagship,8 Elite,3234947,5,699.99,USD,60899,699.99,current,oneplus-press-release,USD 699.99,0.9,,699.99|USD|60899|699.99|oneplus-press-release|0.9,https://www.oneplus.com/us/press/press-release/oneplus-launches-its-flagship-android-tablet-oneplus-pad3-in-the-united-states-and-canada,oneplus-press-release|OnePlus Pad 3|1,,false,,2025,,,,,,,,,,,,,,,,,,,,not_eligible,,,
iqoo-neo11-iqoo-snapdragon-8-elite-android,iQOO Neo11,iQOO,android,Oct 2024,Snapdragon 8 Elite,Snapdragon,flagship,8 Elite,3148628,11,27999,INR,27999,321.83,current,existing-data,INR 27999,0.65,,27999|INR|27999|321.83|existing-data|0.65; 329|USD|28623|329|existing-data|0.62,,,,false,,2024,,,,,,,,,,,,,,,,,,,,not_eligible,,,
