status,phoneName,phoneBrand,processorName,processorBrand,processorSeries,antutuScore,category,plottedPrice,plottedPriceType,source,id
"missing_price","OnePlus Pad 4","OnePlus","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","3903277","android_lite","","","","oneplus-pad-4-oneplus-snapdragon-8-elite-gen-5-android-lite"
"missing_price","Legion Pad Y700 Gen5","Legion","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","3866144","android_lite","","","","legion-pad-y700-gen5-legion-snapdragon-8-elite-gen-5-android-lite"
"missing_price","iQOO 15","iQOO","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","3719658","android","","","","iqoo-15-iqoo-snapdragon-8-elite-gen-5-android"
"missing_price","HONOR MagicPad3 Pro 13.3","HONOR","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","3676739","android_lite","","","","honor-magicpad3-pro-13-3-honor-snapdragon-8-elite-gen-5-android-lite"
"missing_price","OPPO Pad 4 Pro","OPPO","Snapdragon 8 Elite","Snapdragon","flagship","3366201","android_lite","","","","oppo-pad-4-pro-oppo-snapdragon-8-elite-android-lite"
"missing_price","Mi 17","Xiaomi","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","3243225","android","","","","mi-17-xiaomi-snapdragon-8-elite-gen-5-android"
"missing_price","Red Magic Pad 3 Pro","Red Magic","Snapdragon 8 Elite","Snapdragon","flagship","3191295","android_lite","","","","red-magic-pad-3-pro-red-magic-snapdragon-8-elite-android-lite"
"missing_price","OnePlus Ace 6","OnePlus","Snapdragon 8 Elite","Snapdragon","flagship","3149897","android","","","","oneplus-ace-6-oneplus-snapdragon-8-elite-android"
"missing_price","Legion Pad Y700 Gen4","Legion","Snapdragon 8 Elite","Snapdragon","flagship","3132731","android_lite","","","","legion-pad-y700-gen4-legion-snapdragon-8-elite-android-lite"
"missing_price","Mi Pad 8 Pro","Xiaomi","Snapdragon 8 Elite","Snapdragon","flagship","3125986","android_lite","","","","mi-pad-8-pro-xiaomi-snapdragon-8-elite-android-lite"
"missing_price","HONOR MagicPad4","HONOR","Snapdragon 8 Gen 5","Snapdragon","flagship","3084814","android_lite","","","","honor-magicpad4-honor-snapdragon-8-gen-5-android-lite"
"missing_price","HONOR Magic8 Pro","HONOR","Snapdragon 8 Elite Gen 5","Snapdragon","flagship","3058150","android","","","","honor-magic8-pro-honor-snapdragon-8-elite-gen-5-android"
"missing_price","iQOO 15R","iQOO","Snapdragon 8 Gen 5","Snapdragon","flagship","2981652","android","","","","iqoo-15r-iqoo-snapdragon-8-gen-5-android"
"missing_price","iQOO Z11 Turbo","iQOO","Snapdragon 8 Gen 5","Snapdragon","flagship","2950465","android","","","","iqoo-z11-turbo-iqoo-snapdragon-8-gen-5-android"
"missing_price","iQOO Z10 Turbo+","iQOO","Dimensity 9400","MediaTek","flagship","2843123","android","","","","iqoo-z10-turbo-plus-iqoo-dimensity-9400-android"
"missing_price","OnePlus Ace 6T","OnePlus","Snapdragon 8 Gen 5","Snapdragon","flagship","2821502","android","","","","oneplus-ace-6t-oneplus-snapdragon-8-gen-5-android"
"missing_price","REDMI K Pad","Xiaomi","Dimensity 9400","MediaTek","flagship","2695953","android_lite","","","","redmi-k-pad-xiaomi-dimensity-9400-android-lite"
"missing_price","OnePlus Pad 2 Pro","OnePlus","Snapdragon 8 Elite","Snapdragon","flagship","2657335","android_lite","","","","oneplus-pad-2-pro-oneplus-snapdragon-8-elite-android-lite"
